===== TOTAL COMPONENTS =====
Total Cargo packages: 1579
Total SBOM components: 1447

===== EDGE METRICS =====
Correct edge coverage: 58.31%
Missing edges: 3715 (41.69%)
False edges: 177 (3.29%)

===== FALSE EDGES =====
webkit2gtk (2.0.1) -> javascriptcore-rs (1.1.2)
webkit2gtk-sys (2.0.1) -> javascriptcore-rs-sys (1.1.1)
winapi-util (0.1.11) -> windows-sys (0.61.2)

===== COMPONENT METRICS =====
Missed components: 169 (10.70%)
Hallucinated components: 37 (2.56%)

===== VERSION MISMATCHES =====
Version mismatches: 15 (1.04%)

===== TRANSITIVE DEPENDENCY =====
Distribution of packages by coverage (%):
100% coverage: 292 package(s) (18.49%)
75% coverage: 1 package(s) (0.06%)
71% coverage: 1 package(s) (0.06%)
67% coverage: 3 package(s) (0.19%)
62% coverage: 1 package(s) (0.06%)
57% coverage: 1 package(s) (0.06%)
55% coverage: 3 package(s) (0.19%)
54% coverage: 1 package(s) (0.06%)
53% coverage: 1 package(s) (0.06%)
51% coverage: 2 package(s) (0.13%)
50% coverage: 2 package(s) (0.13%)
49% coverage: 1 package(s) (0.06%)
47% coverage: 2 package(s) (0.13%)
46% coverage: 5 package(s) (0.32%)
45% coverage: 1 package(s) (0.06%)
40% coverage: 2 package(s) (0.13%)
37% coverage: 4 package(s) (0.25%)
36% coverage: 2 package(s) (0.13%)
35% coverage: 6 package(s) (0.38%)
34% coverage: 3 package(s) (0.19%)
33% coverage: 8 package(s) (0.51%)
32% coverage: 6 package(s) (0.38%)
31% coverage: 4 package(s) (0.25%)
30% coverage: 4 package(s) (0.25%)
29% coverage: 8 package(s) (0.51%)
28% coverage: 3 package(s) (0.19%)
27% coverage: 11 package(s) (0.70%)
26% coverage: 5 package(s) (0.32%)
25% coverage: 7 package(s) (0.44%)
24% coverage: 2 package(s) (0.13%)
23% coverage: 5 package(s) (0.32%)
22% coverage: 10 package(s) (0.63%)
21% coverage: 4 package(s) (0.25%)
20% coverage: 3 package(s) (0.19%)
19% coverage: 6 package(s) (0.38%)
18% coverage: 14 package(s) (0.89%)
17% coverage: 15 package(s) (0.95%)
16% coverage: 12 package(s) (0.76%)
15% coverage: 17 package(s) (1.08%)
14% coverage: 12 package(s) (0.76%)
13% coverage: 6 package(s) (0.38%)
12% coverage: 10 package(s) (0.63%)
11% coverage: 21 package(s) (1.33%)
10% coverage: 14 package(s) (0.89%)
9% coverage: 20 package(s) (1.27%)
8% coverage: 17 package(s) (1.08%)
7% coverage: 40 package(s) (2.53%)
6% coverage: 52 package(s) (3.29%)
5% coverage: 52 package(s) (3.29%)
4% coverage: 101 package(s) (6.40%)
3% coverage: 78 package(s) (4.94%)
2% coverage: 105 package(s) (6.65%)
1% coverage: 187 package(s) (11.84%)
0% coverage: 386 package(s) (24.45%)

===== END OF REPORT =====
